clean_questions,clean_answer,questions,answers
acara memasak mengikuti acara menjahit,acara memasak mengikuti acara menjahit,acara memasak mengikuti acara menjahit.,acara memasak mengikuti acara menjahit.
acara perjalanan mengikuti acara perjalanan,acara perjalanan mengikuti acara perjalanan,acara perjalanan mengikuti acara perjalanan lain.,acara perjalanan mengikuti acara perjalanan lain.
berkeliling dunia belasan kali,berkeliling dunia belasan kali,saya akan katakan! Saya sudah berkeliling dunia belasan kali!,saya akan katakan! Saya sudah berkeliling dunia belasan kali!
acara tv film,acara tv film,sekarang mereka menambahkan acara TV lama ke film lama.,sekarang mereka menambahkan acara TV lama ke film lama.
menarik perubahan,menarik perubahan,Saya yakin ingin melihat sesuatu yang menarik untuk perubahan.,Saya yakin ingin melihat sesuatu yang menarik untuk perubahan.
orang menyumbangkan uang pbs menawarkan pertunjukan,orang menyumbangkan uang pbs menawarkan pertunjukan,"jika lebih banyak orang menyumbangkan uang, pbs dapat menawarkan pertunjukan baru.","jika lebih banyak orang menyumbangkan uang, pbs dapat menawarkan pertunjukan baru."
suka menonton judge judy,berdonasi tv gratis,"Saya suka menonton ""Judge Judy.""",siapa yang mau berdonasi? TV umum harus gratis.
acara tv,acara tv,apakah itu acara tv?,apakah itu acara tv?
iya sore,iya sore,Iya. itu di setiap sore.,Iya. itu di setiap sore.
bagusnya,bagusnya,apa bagusnya itu?,apa bagusnya itu?
memiliki tuntutan hukum menarik,memiliki tuntutan hukum menarik,mereka memiliki tuntutan hukum yang menarik.,mereka memiliki tuntutan hukum yang menarik.
,,seperti?,seperti?
kemarin wanita mengeluh ponsel dibelinya ebay,kemarin wanita mengeluh ponsel dibelinya ebay,"kemarin, seorang wanita mengeluh tentang ponsel yang dibelinya di ebay.","kemarin, seorang wanita mengeluh tentang ponsel yang dibelinya di ebay."
salah teleponnya,salah teleponnya,ada yang salah dengan teleponnya?,ada yang salah dengan teleponnya?
berfungsi kanada,berfungsi kanada,ini hanya berfungsi di kanada.,ini hanya berfungsi di kanada.
penjual,penjual,apakah penjual tahu itu?,apakah penjual tahu itu?
ya pembeli,ya pembeli,"ya, dan dia tidak memberi tahu pembeli.","ya, dan dia tidak memberi tahu pembeli."
wanita penyanyi bagus,harap hakim judy menyuruh penjual mengambil teleponnya,wanita itu adalah penyanyi yang sangat bagus.,Saya harap hakim Judy menyuruh penjual mengambil teleponnya kembali.
ya lakilaki,ya lakilaki,"ya, tapi dia terlihat seperti laki-laki.","ya, tapi dia terlihat seperti laki-laki."
bedanya,bedanya,apa bedanya?,apa bedanya?
penyanyi wanita cantik,penyanyi wanita cantik,penyanyi wanita seharusnya cantik.,penyanyi wanita seharusnya cantik.
penyanyi terdengar bagus,penyanyi terdengar bagus,penyanyi seharusnya terdengar bagus.,penyanyi seharusnya terdengar bagus.
bagus,bagus,mereka juga akan terlihat bagus.,mereka juga akan terlihat bagus.
penyanyi pria jelek,penyanyi pria jelek,ada banyak penyanyi pria jelek.,ada banyak penyanyi pria jelek.
penyanyi pria berpenampilan menarik,penyanyi pria berpenampilan menarik,penyanyi pria tidak harus berpenampilan menarik.,penyanyi pria tidak harus berpenampilan menarik.
penyanyi wanita,penyanyi wanita,begitu pula penyanyi wanita.,begitu pula penyanyi wanita.
baiklah membeli cdnya,baiklah membeli cdnya,"baiklah, saya tidak akan pernah membeli cdnya.","baiklah, saya tidak akan pernah membeli cdnya."
membeli cdnya cantik,membeli cdnya cantik,tapi kamu akan membeli cdnya jika dia cantik?,tapi kamu akan membeli cdnya jika dia cantik?
stasiun tv digital,iya membeli cd nya,semua stasiun tv akan menjadi digital.,Iya. saya akan membeli semua cd nya.
ya,ya,"ya, itu akan terjadi bulan depan.","ya, itu akan terjadi bulan depan."
kebanyakan mengudara digital,kebanyakan mengudara digital,kebanyakan dari mereka sudah mengudara secara digital.,kebanyakan dari mereka sudah mengudara secara digital.
sinyal digital,sinyal digital,sinyal digital sangat jelas.,sinyal digital sangat jelas.
oh,oh,"oh, tidak, tidak!","oh, tidak, tidak!"
maksudmu,maksudmu,apa maksudmu?,apa maksudmu?
saluran,saluran,saya tidak bisa mendapatkan satu saluran pun.,saya tidak bisa mendapatkan satu saluran pun.
tv digital,tv digital,apakah kamu punya tv digital?,apakah kamu punya tv digital?
kabel,kabel,tentu saja. tapi saya tidak punya kabel.,tentu saja. tapi saya tidak punya kabel.
memiliki kabel membutuhkan antena bagus,memiliki kabel membutuhkan antena bagus,"Anda tidak perlu memiliki kabel, tetapi Anda membutuhkan antena yang bagus.","Anda tidak perlu memiliki kabel, tetapi Anda membutuhkan antena yang bagus."
memiliki telinga kelinci,memiliki telinga kelinci,tetapi saya memiliki telinga kelinci.,tetapi saya memiliki telinga kelinci.
kencan untukmu,telinga kelinci kuat beli antena digital,Aku punya kencan untukmu.,telinga kelinci tidak cukup kuat. beli antena digital.
oh,oh,Oh benarkah?,Oh benarkah?
tertarik,tertarik,Apakah kamu tertarik?,Apakah kamu tertarik?
suka,suka,mungkin. apa yang dia suka?,mungkin. apa yang dia suka?
kepribadian hebat,kepribadian hebat,dia punya kepribadian yang hebat.,dia punya kepribadian yang hebat.
uh oh gemuk jelek,uh oh gemuk jelek,uh oh. itu artinya dia gemuk dan jelek.,uh oh. itu artinya dia gemuk dan jelek.
manis,manis,Dia manis.,Dia manis.
oke jelek gemuk,oke jelek gemuk,"oke, jadi dia tidak jelek; dia hanya gemuk.","oke, jadi dia tidak jelek; dia hanya gemuk."
beratnya 98 pon,beratnya 98 pon,beratnya 98 pon.,beratnya 98 pon.
oke gemuk,oke gemuk,"oke, dia tidak gemuk. jadi apa masalahnya dengan dia?","oke, dia tidak gemuk. jadi apa masalahnya dengan dia?"
bilang dengannya,bilang dengannya,siapa bilang ada masalah dengannya?,siapa bilang ada masalah dengannya?
pikir cantik,untukku,saya pikir kamu sangat cantik.,masalahnya dia tidak punya masalah ?? dia terlalu baik untukku!
terima kasih,terima kasih,Terima kasih.,Terima kasih.
maukah makan malam denganku,maukah makan malam denganku,maukah kamu makan malam denganku?,maukah kamu makan malam denganku?
,,saya minta.,saya minta.
menjemputmu jumat malam,menjemputmu jumat malam,bolehkah aku menjemputmu jumat malam?,bolehkah aku menjemputmu jumat malam?
jam,jam,jam berapa?,jam berapa?
jam delapan,jam delapan,jam delapan.,jam delapan.
kedengarannya bagus,kedengarannya bagus,kedengarannya bagus.,kedengarannya bagus.
pergi restoran prancis,pergi restoran prancis,kita akan pergi ke restoran prancis.,kita akan pergi ke restoran prancis.
restoran perancis,restoran perancis,Saya belum pernah ke restoran Perancis.,Saya belum pernah ke restoran Perancis.
pikir menyukai makanannya,pikir menyukai makanannya,Saya pikir Anda akan menyukai makanannya.,Saya pikir Anda akan menyukai makanannya.
memiliki mata cantik,makan siput,kamu memiliki mata yang cantik.,Saya tidak akan makan siput!
terima kasih,terima kasih,Terima kasih. begitu juga Anda.,Terima kasih. begitu juga Anda.
berharap mata biru,berharap mata biru,Saya berharap mata saya biru.,Saya berharap mata saya biru.
mata hijau,mata hijau,ada apa dengan mata hijau?,ada apa dengan mata hijau?
kecuali warna favorit biru,kecuali warna favorit biru,"tidak ada, kecuali warna favorit saya adalah biru.","tidak ada, kecuali warna favorit saya adalah biru."
kehidupanmu memiliki mata biru,kehidupanmu memiliki mata biru,mungkin di kehidupanmu selanjutnya kamu akan memiliki mata biru.,mungkin di kehidupanmu selanjutnya kamu akan memiliki mata biru.
ikan kehidupan,ikan kehidupan,tetapi bagaimana jika saya adalah ikan di kehidupan saya selanjutnya?,tetapi bagaimana jika saya adalah ikan di kehidupan saya selanjutnya?
pikir ikan memiliki mata biru,pikir ikan memiliki mata biru,Saya pikir beberapa ikan memiliki mata biru.,Saya pikir beberapa ikan memiliki mata biru.
harap ikan,harap ikan,Saya harap saya tidak kembali sebagai ikan.,Saya harap saya tidak kembali sebagai ikan.
harap kucing,harap kucing,Saya harap saya kembali sebagai kucing.,Saya harap saya kembali sebagai kucing.
kucing memiliki mata indah,kucing memiliki mata indah,kucing memiliki mata yang indah.,kucing memiliki mata yang indah.
cinta,memiliki mata kucing biru,Aku cinta kamu.,Saya ingin sekali memiliki mata kucing biru.
mencintaimu,mencintaimu,aku mencintaimu juga.,aku mencintaimu juga.
mencintaimu melihatmu,mencintaimu melihatmu,Aku mencintaimu pada hari pertama aku melihatmu.,Aku mencintaimu pada hari pertama aku melihatmu.
cinta pandangan,cinta pandangan,cinta pada pandangan pertama?,cinta pada pandangan pertama?
ya cinta pandangan,ya cinta pandangan,"ya, itu adalah cinta pada pandangan pertama.","ya, itu adalah cinta pada pandangan pertama."
mencintaimu,mencintaimu,aku tidak mencintaimu pada awalnya.,aku tidak mencintaimu pada awalnya.
mengejarmu,mengejarmu,aku tahu. aku harus mengejarmu untuk sementara waktu.,aku tahu. aku harus mengejarmu untuk sementara waktu.
ya mengejar menangkap,ya mengejar menangkap,"ya, Anda mengejar saya dan kemudian Anda menangkap saya.","ya, Anda mengejar saya dan kemudian Anda menangkap saya."
milikku,milikku,sekarang kamu milikku selamanya.,sekarang kamu milikku selamanya.
kau milikku,kau milikku,dan kau milikku selamanya.,dan kau milikku selamanya.
tua,tua,kita akan menjadi tua bersama.,kita akan menjadi tua bersama.
jatuh cinta gadis,bahagia,Saya jatuh cinta dengan gadis itu.,dan bahagia bersama.
memberitahunya,memberitahunya,sudahkah kamu memberitahunya?,sudahkah kamu memberitahunya?
,,tentu saja tidak.,tentu saja tidak.
,,kenapa tidak?,kenapa tidak?
menertawakanku,menertawakanku,dia akan menertawakanku.,dia akan menertawakanku.
,,bagaimana Anda tahu?,bagaimana Anda tahu?
melakukannya,melakukannya,karena mereka selalu melakukannya.,karena mereka selalu melakukannya.
berbeda,berbeda,mungkin dia berbeda.,mungkin dia berbeda.
,,semuanya sama.,semuanya sama.
ajak makan malam,ajak makan malam,ajak saja dia keluar untuk makan malam.,ajak saja dia keluar untuk makan malam.
,,lalu apa?,lalu apa?
pelukan,menyukainya,memberi saya pelukan.,dan kemudian dia akan tahu bahwa Anda menyukainya.
mood,mood,aku sedang tidak mood,aku sedang tidak mood
,,apa masalahnya?,apa masalahnya?
wanita,wanita,saya melihat Anda melihat wanita itu.,saya melihat Anda melihat wanita itu.
wanita,wanita,wanita apa,wanita apa
wanita payudara,wanita payudara,"Anda tahu, wanita dengan payudara besar itu.","Anda tahu, wanita dengan payudara besar itu."
,,saya tidak melihat dia.,saya tidak melihat dia.
,,kamu juga.,kamu juga.
tertarik,tertarik,saya tidak tertarik padanya.,saya tidak tertarik padanya.
menatapnya,menatapnya,lalu mengapa kamu menatapnya?,lalu mengapa kamu menatapnya?
,,saya sedang melihat sesuatu yang lain.,saya sedang melihat sesuatu yang lain.
pergi kencan buta,oh habiskan malam memandangi sofa,apakah kamu ingin pergi kencan buta?,Oh benarkah? lalu habiskan malam ini dengan memandangi sofa.
bercanda,bercanda,kamu pasti bercanda.,kamu pasti bercanda.
serius,serius,"tidak, aku serius.","tidak, aku serius."
berkencan wanita buta,berkencan wanita buta,Saya tidak ingin berkencan dengan wanita buta.,Saya tidak ingin berkencan dengan wanita buta.
kencan buta buta,kencan buta buta,kencan buta tidak berarti dia buta!,kencan buta tidak berarti dia buta!
,,apa artinya?,apa artinya?
kencan buta kencan kenal,kencan buta kencan kenal,kencan buta adalah kencan dengan seseorang yang tidak Anda kenal.,kencan buta adalah kencan dengan seseorang yang tidak Anda kenal.
berkencan kenal,berkencan kenal,mengapa saya berkencan dengan seseorang yang bahkan tidak saya kenal?,mengapa saya berkencan dengan seseorang yang bahkan tidak saya kenal?
mencoba menarik,mencoba menarik,untuk mencoba sesuatu yang baru dan menarik.,untuk mencoba sesuatu yang baru dan menarik.
menyukainya,menyukainya,bagaimana jika saya tidak menyukainya?,bagaimana jika saya tidak menyukainya?
kencan besok malam,berkencan dengannya,saya ada kencan besok malam.,maka kamu tidak akan berkencan dengannya lagi.
,,Betulkah? dengan siapa?,Betulkah? dengan siapa?
gadis temui pasar,gadis temui pasar,seorang gadis yang saya temui di pasar.,seorang gadis yang saya temui di pasar.
bertemu gadis supermarket,bertemu gadis supermarket,Anda bertemu dengan seorang gadis di supermarket?,Anda bertemu dengan seorang gadis di supermarket?
berdiri belakangku antrean lambat meja kasir,berdiri belakangku antrean lambat meja kasir,dia berdiri di belakangku dalam antrean yang sangat lambat di meja kasir.,dia berdiri di belakangku dalam antrean yang sangat lambat di meja kasir.
,,apa yang kamu katakan padanya?,apa yang kamu katakan padanya?
nanas gerobak menemukannya,nanas gerobak menemukannya,"saya punya dua nanas di gerobak saya, dan dia bertanya di mana saya menemukannya.","saya punya dua nanas di gerobak saya, dan dia bertanya di mana saya menemukannya."
nanasmu,nanasmu,dia bertanya tentang nanasmu?,dia bertanya tentang nanasmu?
rak menawarkan salah milik,rak menawarkan salah milik,"Saya mengatakan kepadanya bahwa saya telah mendapatkan dua yang terakhir di rak, tetapi saya menawarkan salah satu milik saya.","Saya mengatakan kepadanya bahwa saya telah mendapatkan dua yang terakhir di rak, tetapi saya menawarkan salah satu milik saya."
,,Anda baik sekali.,Anda baik sekali.
padaku membalas budi mengajaknya kencan,padaku membalas budi mengajaknya kencan,"dia bertanya padaku bagaimana dia bisa membalas budi, jadi aku mengajaknya kencan.","dia bertanya padaku bagaimana dia bisa membalas budi, jadi aku mengajaknya kencan."
kencan jumat malam,terkadang antrean lambat,apakah kamu ada kencan jumat malam?,terkadang antrean lambat bisa menjadi hal yang baik.
ya kenyataannya melakukannya,ya kenyataannya melakukannya,"ya, pada kenyataannya, saya melakukannya.","ya, pada kenyataannya, saya melakukannya."
pergi,pergi,dengan siapa kamu pergi?,dengan siapa kamu pergi?
pria temui kedai kopi,pria temui kedai kopi,seorang pria yang saya temui di kedai kopi.,seorang pria yang saya temui di kedai kopi.
pergi kemana,pergi kemana,kamu mau pergi kemana?,kamu mau pergi kemana?
pergi restoran bagus,pergi restoran bagus,kami pergi ke restoran yang bagus.,kami pergi ke restoran yang bagus.
,,di tempat lain?,di tempat lain?
pergi klub jazz,pergi klub jazz,lalu kami pergi ke klub jazz.,lalu kami pergi ke klub jazz.
kedengarannya kencan menyenangkan,kedengarannya kencan menyenangkan,kedengarannya seperti kencan yang menyenangkan.,kedengarannya seperti kencan yang menyenangkan.
ya menyenangkan,ya menyenangkan,"ya, itu menyenangkan.","ya, itu menyenangkan."
berkencan dengannya,berkencan dengannya,tapi kamu tidak akan berkencan dengannya lagi?,tapi kamu tidak akan berkencan dengannya lagi?
mengalami kencan terburuk malam,chemistry,Aku mengalami kencan terburuk malam itu.,"tidak. dia baik, tapi tidak ada chemistry."
,,apa yang terjadi?,apa yang terjadi?
pertamatama terlambat jam,pertamatama terlambat jam,"pertama-tama, dia terlambat setengah jam.","pertama-tama, dia terlambat setengah jam."
,,itu bukan awal yang baik.,itu bukan awal yang baik.
repotrepot maaf,repotrepot maaf,lalu dia tidak repot-repot meminta maaf.,lalu dia tidak repot-repot meminta maaf.
kasar,kasar,kasar.,kasar.
melaju cepat restoran,melaju cepat restoran,lalu dia melaju terlalu cepat ke restoran.,lalu dia melaju terlalu cepat ke restoran.
berbahaya,berbahaya,itu berbahaya.,itu berbahaya.
berpikir taksi pulang,berpikir taksi pulang,saya berpikir untuk keluar dan naik taksi pulang.,saya berpikir untuk keluar dan naik taksi pulang.
restoran,restoran,apa yang terjadi di restoran?,apa yang terjadi di restoran?
makan 40 meninggalkan tip 1,makan 40 meninggalkan tip 1,"kami makan $ 40, dan dia meninggalkan tip $ 1!","kami makan $ 40, dan dia meninggalkan tip $ 1!"
suka pria,restoran,saya tidak suka pria itu.,Saya kira Anda tidak bisa kembali ke restoran itu.
,,kenapa tidak?,kenapa tidak?
orang tua kotor,orang tua kotor,dia orang tua yang kotor.,dia orang tua yang kotor.
maksudmu,maksudmu,apa maksudmu?,apa maksudmu?
tua ayahku mengajakku berkencan,tua ayahku mengajakku berkencan,"dia cukup tua untuk menjadi ayahku, namun dia mengajakku berkencan.","dia cukup tua untuk menjadi ayahku, namun dia mengajakku berkencan."
menyalahkan pria,menyalahkan pria,"Nah, Anda tidak bisa menyalahkan pria yang bertanya.","Nah, Anda tidak bisa menyalahkan pria yang bertanya."
bertindak sesuai usianya,bertindak sesuai usianya,dia harus bertindak sesuai usianya.,dia harus bertindak sesuai usianya.
orang tua tertarik berkencan,orang tua tertarik berkencan,tapi masih banyak orang tua yang tertarik untuk berkencan.,tapi masih banyak orang tua yang tertarik untuk berkencan.
menemukan hobi bagus,menemukan hobi bagus,mereka harus menemukan hobi yang bagus.,mereka harus menemukan hobi yang bagus.
tunggu berusia 50,tunggu berusia 50,tunggu saja sampai Anda berusia 50 tahun.,tunggu saja sampai Anda berusia 50 tahun.
berkencan terjauh pikiranku,berkencan terjauh pikiranku,berkencan akan menjadi hal terjauh dari pikiranku.,berkencan akan menjadi hal terjauh dari pikiranku.
pacarmu membuatmu marah,tunggu berusia 50,apakah pacarmu pernah membuatmu marah?,itulah yang kamu katakan sekarang. tunggu sampai Anda berusia 50 tahun.
terkadang,terkadang,terkadang.,terkadang.
pekerjaannya,pekerjaannya,apa pekerjaannya?,apa pekerjaannya?
kemarin menukarnya uang dunia,kemarin menukarnya uang dunia,"Baru kemarin, saya mengatakan kepadanya bahwa saya tidak akan menukarnya dengan semua uang di dunia.","Baru kemarin, saya mengatakan kepadanya bahwa saya tidak akan menukarnya dengan semua uang di dunia."
bagus,bagus,itu hal yang bagus untuk dikatakan.,itu hal yang bagus untuk dikatakan.
