questions,answers
oh yes because of all the killer germs,"if you're a smart doctor, you stay away from hospitals."
if youre a smart doctor you stay away from hospitals,"yes, the smart doctors are those tv news doctorsâ—no hospitals, no patients."
i want to be a mail carrier when i grow up,why?
why,because you get to meet a lot of people.
because you get to meet a lot of people,you sure do.
you sure do,and you get a lot of exercise every day.
and you get a lot of exercise every day,that's the truth.
thats the truth,and you get to play with a lot of dogs.
and you get to play with a lot of dogs,"well, you're supposed to be working."
well youre supposed to be working,"yes, but i will always pet the friendly dogs."
yes but i will always pet the friendly dogs,what about the unfriendly dogs?
what about the unfriendly dogs,"i think if you are friendly to dogs, they are friendly to you."
i think if you are friendly to dogs they are friendly to you,dogs are like peopleâ—not all of them are friendly.
i want to move to new york,to the state or the city?
to the state or the city,"to the city, of course."
to the city of course,why do you want to move there?
why do you want to move there,because i want to make a lot of money.
because i want to make a lot of money,there are a lot of poor people in new york.
there are a lot of poor people in new york,there sure areâ—at least a million.
there sure areã‚â€”at least a million,so how do you plan to become rich?
so how do you plan to become rich,i will knock on the doors of all the corporations.
i will knock on the doors of all the corporations,that won't make you rich. nobody will talk to you.
that wont make you rich nobody will talk to you,i will keep knocking on doors.
i will keep knocking on doors,all you will get is sore knuckles.
i love salads,me too.
me too,i usually eat a simple salad.
i usually eat a simple salad,what do you put in it?
what do you put in it,"just lettuce, tomato, and celery."
just lettuce tomato and celery,that's it?
thats it,i add some pepper and salt.
i add some pepper and salt,i always put cheese in my salads.
i always put cheese in my salads,"yes, cheese is nice."
yes cheese is nice,what kind of dressing do you use?
what kind of dressing do you use,i pour lots of french dressing on top.
i pour lots of french dressing on top,me too. french dressing is so delicious! who cares about calories?
i love cheese,me too.
me too,where does cheese come from?
where does cheese come from,it comes from cows.
it comes from cows,"so we get cheese from cows, and we get milk, too?"
so we get cheese from cows and we get milk too,"yes, we do."
yes we do,what else do we get from cows?
what else do we get from cows,we get hamburgers and steak.
we get hamburgers and steak,"oh, that's so delicious."
oh thats so delicious,we also get leather.
we also get leather,"we get a lot of things from cows, don't we?"
we get a lot of things from cows dont we,yes. a cow is man's best friend.
i used to work in a deli,how did you like it?
how did you like it,i loved it!
i loved it,did you get free food?
did you get free food,i ate free cheese and meat every day.
i ate free cheese and meat every day,that sounds like a great job.
that sounds like a great job,"whatever a customer ordered, i sliced off a little more for me."
whatever a customer ordered i sliced off a little more for me,did you get fat?
did you get fat,"no, but i did put on a few pounds."
no but i did put on a few pounds,that sounds like a dream job.
that sounds like a dream job,"it was, until one day my manager caught me."
it was until one day my manager caught me,"no more free cheese for you, huh?"
im on a new diet,what are you eating now?
what are you eating now,i switched from pasta to potatoes.
i switched from pasta to potatoes,why did you do that?
why did you do that,pasta is processed food. potatoes are natural food.
pasta is processed food potatoes are natural food,natural food has more vitamins.
natural food has more vitamins,and it's just as easy to prepare.
and its just as easy to prepare,how do you prepare the potatoes?
how do you prepare the potatoes,"i wash them, and then steam them for 15 minutes."
i wash them and then steam them for 15 minutes,that's pretty simple.
thats pretty simple,"then i add butter, salt, and pepper."
then i add butter salt and pepper,can i have all those cans of tomato sauce you bought for your pasta?
my girlfriends mom got mad at me at the dinner table,why was that?
why was that,i sprinkled salt and pepper on the food before i tasted it.
